text,class_simple,sent_score
what they have stock rotates constantly so you may not be able to get everything you always want each time you visit.,selection,bad
i like this aldi but they are always packed.,crowded,bad
i haven't always had the best experience at aldi.,repeat_visit,bad
only meats though if you want anything else the prices tend to be a little higher�,price,bad
it's  always 1 cashier even when the line is long,efficiency_of_service,bad
i can never find what i need in there,selection,bad
they almost always only have one cashier.,efficiency_of_service,bad
but always one or two cashier (s),efficiency_of_service,bad
but there's always only 2 lines open.,efficiency_of_service,bad
the lines be so long ,efficiency_of_service,bad
place kind of dumpy people always out front bumming money,atmosphere,bad
the lines are always too long.,efficiency_of_service,bad
rude ppl always working other then that its good,staff,bad
you always get those ones that give you attitude because they hate the decision they've made (which is to keep that job) overall a good store though,staff,bad
always out of items,selection,bad
people always hanging around but it is what it is,atmosphere,bad
always long checkout lines,efficiency_of_service,bad
they are not always well stocked.,selection,bad
not always the best price on a given item.,price,bad
but it always has a crowd.,crowded,bad
just make sure not to get rammed by carts- all the other customers are always in such a rush!,crowded,bad
not the cleanest but so convenient for locals,cleanliness,bad
humble and not clean but you can get international groceries including those of korean and japanese.,cleanliness,bad
the prices are a little bit more expensive than a chain ,price,bad
limited produce and meat with an emphasis on non perishables.,selection,bad
the store could be cleaner.,cleanliness,bad
could be cleaner.,cleanliness,bad
but one of the least clean aldis that i have visited.,cleanliness,bad
not clean & shelves in disarray,cleanliness,bad
not clean and organized.,cleanliness,bad
it's not clean  and the cashier's  are rude,cleanliness,bad
not the cleanest place i have been though.,cleanliness,bad
the store seems to need cleaning and better attitudes of the staff.,cleanliness,bad
store needs cleaning.,cleanliness,bad
stuff is not fresh or old.,freshness,bad
it's not fresh and old.,freshness,bad
some of the fresh grocery was a bit old.,freshness,bad
the fish looks really old and sometimes the meet  smell weird,freshness,bad
also their bagged salads were old and their lettuce selection was basically romaine.,freshness,bad
sometimes produce is limited or old and they of course run out of stuff.,freshness,bad
the fruit had mold on it and most didn't look fresh.,freshness,bad
produce usually has mold nearly every time i go but everything else is fine there.,freshness,bad
if you like moldy bananas.,freshness,bad
other then most of the produce having mold the prices are reasonably cheap and good for easy cheap meals like lunches for work,freshness,bad
have found some moldy food here,freshness,bad
it was molded tomatoes on the shelves.,freshness,bad
i am not sure if it was mold or not.,freshness,bad
it isn't uncommon to find white mold on it.,freshness,bad
edit to my last review - i just opened a new package of toilet paper from wegman's...and it has mold on the inside??!!,freshness,bad
the only downside is that some of the produce isn't the freshest.,freshness,bad
"(translated by google) things are not fresh

(original)
ä¸œè¥¿ä¸æ–°é²œ",freshness,bad
in hire because it not fresh.,freshness,bad
the meat is overpriced and the fish is not fresh also i ask the manager (lady) if i can pay using apple pay the she say what's that  then she say not they are lost !,freshness,bad
.. their products are not fresh.,freshness,bad
i bought organic avocados which looked fresh and after 2 days all started to smell foul.,freshness,bad
only wished there were fresh greens.,freshness,bad
all groceries needed for my household are found here with the exception of fresh seafood.,freshness,bad
only thing i haven't been able to purchase that i wanted was fresh herbs.,freshness,bad
fresh produce is just as good as any other store.,freshness,bad
and not all produce is fresh gets a star knocked off.,freshness,bad
the produce doesn't look fresh.,freshness,bad
don't by fresh anything here but good for dry goods and milk.,freshness,bad
in hire because it not fresh.,freshness,bad
the meat is overpriced and the fish is not fresh also i ask the manager (lady) if i can pay using apple pay the she say what's that  then she say not they are lost !,freshness,bad
their fresh vegetables section is never fresh.,freshness,bad
it also had a lot of bugs in the fruit and vegetables (which all did not look fresh).,freshness,bad
meats don't never look fresh,freshness,bad
freshness questionable.,freshness,bad
prices are reasonable but meats don't look fresh.,freshness,bad
the meat has gone kind of downhill on it's freshness.,freshness,bad
i hate that it took me so long to find the fresh market.,no_topic,bad
the fish is not the freshest and they won't cut to size when you need less than the cuts they are offering.,freshness,bad
i don't like their buffet or sushi though bc its not very fresh and just your average dishes.,freshness,bad
really tired of this nasty little store.,no_topic,bad
i've shopped here for twenty five years and never once have they made improvements.,repeat_visit,bad
its convenient but i got spoiled chicken and produce that wilted on the walk home.,freshness,bad
which is fine because of how expensive it is.,price,bad
recently went and their rice and pancake bags had a whole lot of bugs in â€¦,freshness,bad
this time it reeked of cigarettes.,cleanliness,bad
like teens were hiding in the back and chain smoked hours ago but the smell lingered hours â€¦,cleanliness,bad
but i wouldn't really go here other than if i desperately need something.,no_topic,bad
beware of vegetables/breads being way past their expiration date.,freshness,bad
but a little pricey.,price,bad
a little overpriced as far as the american stuff ,price,bad
a little cramped.,no_topic,bad
it could be more neat.,cleanliness,bad
less products and options...,selection,bad
i live close ,convenience,bad
not a great beer selection,selection,bad
the interior has a lot to be desired ,layout,bad
one time i bought a ruined durian but they refused when i came back to return.,freshness,bad
many items here are far more expensive than other groceries.,price,bad
 but a bit cramped.,layout,bad
i would never buy meat here.,no_topic,bad
putting up with giant's long lines ,efficiency_of_service,bad
nothing special.,no_topic,bad
the cashier wasn't in a good mood.,staff,bad
not the cheapest grocery store.,price,bad
the one in leesburg's produce section isn't very good,selection,bad
very disappointed with this store.,repeat_visit,bad
but most of their items are over priced.,price,bad
it's a busy place,crowded,bad
not a lot of name brands.,selection,bad
high prices.,price,bad
and definitely don't do all my grocery shopping here.,repeat_visit,bad
and never experienced bad customer service like i did tonight.,staff,bad
layout sucks,layout,bad
layout bad,layout,bad
one of the worst locations..,no_topic,bad
but ....the amount of obnoxious drunk homeless men following you to your car and sexually harassing your 12 yr old daughter is unbearable.,no_topic,bad
 i could have found crisp apples...perhaps just bad timing.,freshness,bad
bad customer service,staff,bad
half the milk i buy here is bad when i buy it.,freshness,bad
service is terrible go there on a better day,staff,bad
now i love aldi but the one in hyattsville employees just don't care and they leave out bad ,staff,bad
milk went bad almost instantly,freshness,bad
if you don't eat what you buy right away it goes bad.they re-date their products,freshness,bad
super bad service attitudeâ€¦when i finished pay.,staff,bad
bestworld reminds you that mount pleasant wasnâ€™t always a yuppie enclave full of million dollar homes.,no_topic,
milk smelled bad,freshness,bad
i really question whether the service personnel here have received professional trainingâ€¦â€¦ never see bad the than like thisï¼,staff,bad
i love the prices at save-a-lot you do you and you can really  save some money this location is not bad  i was able pick up some good finds,,
i felt really bad for the two (2) cashiers who were and two (2) gentleman who â€¦,,
not a bad store.,,
not bad ... the dessert and prepared foods are reasonable and tasty but the assortment of useless candy.,,
what can i say bad and this store.,,
wine tasting in the back was not bad at all.,,
produce tends to run out quickly as restocking is a little limited when there is a crowd,,
definitely a convenient place to go to when in need for something quick!,efficiency_of_service,
you can create a shopping list quickly using frequently purchased items from your account.,,
received quick assistance when looking for   spinach and artichoke dip.,,
lines move quick enough when itâ€™s time to checkout.,,
it can get a little pricey in there but it's worth it because the quality of their products are actually really good their pharmacy technicians are very friendly to they have a nice parking â€¦,,
produce and meat quality varies.,,
it is the best place to shop around variety of items good prices and good quality.,,
love aldi prices and quality.,,
but the quality is as good as national brands.,,
great for quality essentials on the cheap.,,
price and quality are unbeatable.,,
they have very few brands available but they are all high quality.,,
most of the products are very good quality for the low price that you pay.,,
provides good quality produce at lower prices.,,
couldn't believe the low prices and the good quality of food!!.,,
good quality,,
great quality and good prices and exelente food ðÿ‘ðÿ¼ðÿ‘œðÿ¼very satisfacciã³nðÿ˜€,,
great bargains and great quality food,,
this supermarket is of high quality for its price.,,
one of my favorite places... reasonable priced... quality...,,
cheap and good quality food.,,
and some other quality stuff.,,
aldi is great low prices on good quality items who can beat that!,,
product are of good quality and good prices.,,
great prices and quality selections.,,
aldi is bascually like giant they have low prcies and good quality foods and yeah it is a very good produce store,,
but what i have has been good quality with gr8 prices.,,
"i went there for snacks 
.. no name brands ... meats are poor quality",,
and great quality produce!,,
very good quality.,,
reasonable quality quantity and affordable prices...more bam for your buck!!,,
nice quality ðÿ‘œ,,
the quality and quantity were just icing on the cake.,,
the best quality for a good price,,
cheapest quality grocery in petworth/fort totten!,,
quality foods.,,
good quality meat!,,
i also like the small store convenience without the skimp in quality.,,
great selection and the meats are great quality.,,
love the quality of the meats,,
great food awesome marinated meats quality deli,,
good meat nice prices and quality,,
i'm very lucky to work in davis square because this butcher shop is a good quality meat market for half the price of the grocery store.,,
products sold @ the store have good quality & very inexpensive.,,
not a huge selection of produce but its normally good quality.,,
quality food.,,
very cheap and much quality!,,
the prices can be steep the the quality is wonderful.,,
generally pricey though for very high quality products.,,
quality grocer.,,
pricey but quality,,
and seafood tend to be on the pricey side but they tend to have high quality items.,,
best quality and price for chicken breasts every tuesday!,,
love the quality of their meat and poultry.,,
great selection of quality & organic foods.,,
they don't have everything you might need but they have most things and very good quality.,,
good quality though.,,
great artisan foods with good quality produce and meat.,,
to the hot bar and amazing selection of international foods and quality meats/seafood.,,
the food is all quality.,,
it sets the standards for quality of food and produce as well as providing an extremely wide selection.,,
food quality here is not that good.,,
if you want quality.,,
excellent quality and if it isn't.,,
top quality food.,,
most stuff is good quality.,,
quality product at reasonable prices.,,
wegmans offers quality.,,
soo many options and the quality is great.,,
we go to this place all the time as it has great quality.,,
selection and the quality are excellent.,,
their amazing diversity and quality of.products makes us stop whenever we are nearby.,,
this store has quality items.,,
highest quality.,,
wegmans quality is unquestioned but they loose a star because some of their items are inexplicably overpriced.,,
if you are shopping for high quality.,,
one of the best grocery stores in the area...very complete and quality.,,
but i'll pay more for a quality product.,,
good quality food- my go to for meats and fruits.,,
giant has a higher quality salad bar for half the price.,,
i love wegmans because of the quality of their products.,,
bananas are consistently poor quality.,,
very high quality.,,
great super market with high quality food,,
the selection is vastly superior to a traditional grocery store and the quality is a step up as well.,,
and quality are excellent.,,
wegmans on a weekend afternoon is a bit zooy but it's still the best shop in the neighborhood for almost anything you might want from a grocery store.,,
like whole foods without the snooty vibe,,
very crowded unorganized and alot of the items that i needed were not in stock and the main item i went there for was live blue shell crabs also not available no real butter no organic milk and sweets(ice cream and cookies) disappointed trip and i still need to go grocery shopping ðÿ‘žðÿ‘žðÿ‘ž,,
you have to make sure u go on a day its not crowded.,,
very nice store and good customer service only setback is how long it takes to bring out the meat/fridge section when they get restocked and also the parking because it's in a shopping center.,,
save-a-lot and aldi are my go-to places for conveniently keeping great amounts of food in the refrigerator for a cheap prices the brands are not always familiar but that's fun to taking a chance trying something different also i recommend â€¦,,
fresh asparagus bunch for $1.69 ???,,
just make sure you pick it your produce well,,
unique/hard to find offering.,selection,
â˜ºï¸â˜ºï¸ðÿ‘â˜ºï¸â˜ºï¸,,
i love this place because they have kitchen equipment that has been hard to find elsewhere and the good choices of needs that you can find for instance the smoked turkey you have a cut up into pieces as opposed to in the regular grocery stores they're just smoked and they're in large pieces and i appreciate the smaller,,
this is an excellent find in the city.,,
no walls here mr president: america is and will be a land of immigrants.,,
the capitol supermarket is owned by koreans.,,
the staff at the till are most often spanish speaking.,,
2 of the guys are from mongolia (where?).,,
and a couple of koreans.,,
very affordable!,,
nice,,
great prices--foods from around the world.,,
organic options.,,
and super friendly staff.,,
the other thing is.,,
the owners are super helpful.,,
they have la pasta for super low prices,,
i do not understand how in a supermarket in the united states.,,
they charge for each bag you use to carry what you bought,,
thank you so much.,,
gross.,,
dirty.,,
smelly and expensive with very little in variety or even content.,,
poorly organized.,,
cashiers not friendly...to busy on phone texting,,
the nearest supermarket where i lived.,,
friendly staff and a big variety of products.,,
love it.,,
excellent produce and reasonably  priced.,,
you can find queso oaxaca.,,
tortillas and a lot of more mexican stuff here.,,
cool market,,
good market,,
it has everything you could want in a market.,,
staff a little underwelming but it's dc,,
great produce and service,,
out of date food,,
too expencive.,,
ok,,
nice store,,
it smells,,
love it!,,
run-down,,
"(translated by google) it is a shop k ay detodo

(original)
es una tienda k ay detodo",,
(translated by google) the very friendly attention!,,
"(original)
la atenciã³n muy cordial!!",,
(translated by google) close to the hostel.,,
i found everything i needed.,,
the hygiene needs to improve a little.,,
"(original)
pertinho do hostel.",,
me lembrei de antigas â€¦,,
(translated by google) it was nice to have a variety of things.,,
especially korean noodles and sweets.,,
and after purchasing we needed chopsticks.,,
but when the boss was korean.,,
we listened to each other and gave them wooden chopsticks.,,
ay muchas.,,
cosas q uno necesita ahã­ es tienda hispana,,
(translated by google) supermarket with the basics.,,
"good for the tourist ..

(original)
supermercado con lo bã¡sico.",,
bien para el turista..,,
bom preã§o e boas opã§ãµes de alimentos.,,
(translated by google) pleasant prices on some products good discounts.,,
the choice of goods is.,,
convenience store next to the house.,,
i come here every day for the little things.,,
local restaurants are purchasing products.,,
(original) â€¦,,
æ˜¯å¯ä»¥å¿«é€ÿé»žé¤ï¼œå’œæœ‹å‹å°èšèšå¤©,,
"(translated by google) a good place to buy what you need

(original)
un buen lugar para comprar lo que necesitas",,
ð¦ðµð½ñ‹ ð½ð¾ñ€ð¼ð°ð»ñœð½ñ‹ðµ.,,
ð½ð¾ ð²ñ‹ð±ð¾ñ€ ð½ðµ ð¾ñ‡ðµð½ñœ.,,
buenos precios y se consigue los suficiente para hacer un mercado semanal.,,
no le pongo 5 estrellas porque puede ser algo pequeã±o y algunas personas  les gustaria ver mas variedad de productos en algunas secciones,,
esta bueno.,,
tiene variados productos y hay gente que habla espaã±ol,,
"(translated by google) super variety of products

(original)
super variedad de productos",,
had everything we needed after coming straight from the airport.,,
a good place for tourists!,,
metro's come a long way in the past few years.,,
the grocery business is tough.,,
so prices don't really â€¦,,
cool locally-owned grocery store with a very broad selection in a very convenient location.,,
they're a little more expensive than a chain grocery (being a small business and all).,,
but the owners are super nice and the store is great.,,
i â€¦,,
tiny grocery store in dupont circle.,,
the produce selection is suprisingly good.,,
the store is not large.,,
and the prices are a little bit high because of the location and size.,,
but if you need something in a pinch this is a great place to â€¦,,
not small.,,
"not great at the best
good at people
there is a lovely place there",,
good selection and price for the location.,,
good..small grocery shop with that is required available.,,
near to the hotels is an advantage.,,
a great place for staples and wine.,,
larger than a convenience store but smaller than a typical big-chain grocery store.,,
definitely the most expensive i've found in dc for many items.,,
given the â€¦,,
small with overpriced mundane items that can be purchased cheaper even at whole foods,,
great variety.,,
great little grocery store; staff is very friendly and helpful.,,
prices are average to a slight premium; i don't mind the trade off for convenience and supporting a non-chain store.,,
still cheaper than whole foods.,,
decent selection but a bit overpriced compared to other local supermarkets.,,
this place deserves no stars at all.,,
extremely overpriced.,,
the owners are so rude.,,
this is not a supermarket but a local bodega.,,
kind people.,,
decent prices (good for fruit and veggies).,,
and help support local businesses.,,
best supermarket in the area.,,
the owners are very friendly.,,
secretly great wine selection (including kosher wines),,
little mom and pop grocery store.,,
small asian owned grocery.,,
selection is all right.,,
especially considering how small it is.,,
prices are high.,,
bought some cookies and found out they were manufactured â€¦,,
to anyone who plans to shop there: please be advised that this place sells expired vacuum-packed products.,,
when i was returning one.,,
they even refused to summon the manager for me to file a proper complaint.,,
unless your idea of having fun â€¦,,
great little grocery store.,,
well maintained.,,
and reasonable prices.,,
but i didn't find what i was looking for.,,
convenient but selection is small and slightly pricey,,
convenient if you are staying at one of the nearby hotels.,,
decent place.,,
basically a bigger convenience store,,
ever since they renovated a few years back.,,
prices went up substantially.,,
grocery store selection was reduced.,,
but beer and wine shelf space quadrupled.,,
and expensive.,,
expensive.,,
better off at cvs or trader joes,,
way over priced.,,
not a great selection.,,
and no restroom access.,,
very expensive (identical bottle of wine across the street at state liquors is $2 cheaper) and the fruit/tomatoes are never ripe and hard as rocks.,,
not so much as variety,,
ridiculously expensive.,,
pretty expensive,,
good.,,
but too expensive!!,,
expensive,,
"(translated by google) convenient for shopping quite affordable for washington

(original)
pratique pour faire ses courses assez abordable pour washington",,
il y a de tout.,,
quartier calme,,
(translated by google) all that may be required of the products - there.,,
there are beer and other drinks.,,
"(original)
ð’ñðµ.",,
ñ‡ñ‚ð¾ ð¼ð¾ð¶ðµñ‚ ð¿ð¾ð½ð°ð´ð¾ð±ð¸ñ‚ñœññ ð¸ð· ð¿ñ€ð¾ð´ñƒðºñ‚ð¾ð² - ðµññ‚ñœ.,,
ð•ññ‚ñœ ð¿ð¸ð²ð¾ ð¸ ð¿ñ€ð¾ñ‡ð¸ðµ ð½ð°ð¿ð¸ñ‚ðºð¸.,,
the best grocery store for latino foods in the area.,,
best $1.50 you'll ever spend!,,
this place is only for immigrants.,,
they have no respect for anyone else.,,
i hoped the staff would be kind and helpful.,,
i was mistaken.,,
if you don't speak spanish.,,
they don't care about you....go somewhere else..where people value your dollar.,,
panama food store all in one every food stuff its here,,
big place and lot of foods that you can buy.,,
well stocked and organized.,,
friendly and helpful staff.,,
is a good place to go shopping.,,
and the workers here are great with customers!,,
dirty and smells not that good.,,
prices are surprisingly high for such place,,
good prices!,,
nice severs nice price &products friend love respected enought,,
really great place if you need to go out and get groceries.,,
convenient and is full of great people ðÿ˜€,,
nice food,,
vegetables.,,
staples.,,
at a fraction of the surrounding big name grocery stores' prices.,,
does not have all grocery items.,,
specially in the frozen section.,,
good selection of latin foods though.,,
brush up your spanish skills because the staff can't speak english .,,
they were very friendly.,,
great place to get reasonable prices on groceries and the spices are waaaaay cheaper than safeway.,,
is it small?,,
yes.,,
are the aisles cramped?,,
but there's great stuff here for those willing to look.,,
they have a lot of specialty items â€¦,,
too expensive i can't got to much.,,
horrible.,,
my first time in there and i get so disappoint about the service i was finishing my shopping when someone was so rude.,,
and nasty talk with me and another lady.,,
i have to live the store right away i was so upset about that men â€¦,,
great place love the tamales,,
stop spying on me.,,
though this store is small.,,
well stocked.,,
essentials.,,
and household needs!,,
i frequent this store often.,,
as i'm pleased with the friendliness of the staff!,,
it's wonderland.,,
you can find everything you need to make a delicious latin dish for a really good deal.,,
love the place!,,
it's reasonable price,,
it's a good place if you want buy vegetables.,,
good price but i can't recommen buy fish.,,
meet.,,
i hated it i saw ugly things there and i hated it.,,
a great place to shop at low prices.,,
and a very helpful staff.,,
they have a great selection of food but lines tend to get big,,
like the market,,
they have fruits and vegetables from all over the place.,,
wellcome to new community d.c.,,
you can find food from latin america a little of everything.,,
great for latin products,,
needs a bigger place.,,
because; they ride you home when you spend more than 50$.,,
i like the price of it.,,
though.,,
limes were small and dry.,,
but 15 for a buck you can't really beat the price.,,
the best food,,
if you're planning to cook any latin food.,,
stop here first,,
it has a huge client and tale,,
you can find anything in that tight space.,,
food is very expensive,,
great,,
no good,,
the prices and selections,,
international food,,
"(translated by google) good store some salvadoran foods i would have loved to find

(original)
buena tienda algunos alimentos salvadoreã±os me hubiera encantado encontrar",,
"(translated by google) excellent place to buy our tasty hispanic products

(original)
excelente lugar para comprar nuestros sabrosos productos hispanos",,
"(translated by google) the products are within reach of the latino community

(original)
los productos estan al alcanse dela comunidad latinas",,
(translated by google) panam markt is a place where one can find what is needed both for the kitchen and the home and it is of comfortable prices and the attention is special to and also tea give right if you buy 50.dolares for riba ok. â€¦,,
(translated by google) it is a very dirty place.,,
"(original)
es un  lugar muy sucio.",,
buen lugar pero la cajera q m atendiã³ es bien serota lo ve a uno como bicho raro se cree la.,,
gran cosa,,
"(translated by google) very good

(original)
muy bueno",,
"(translated by google) excellent latin products

(original)
exelente los productos latinos",,
exelente tienda.,,
donde encuentro todo lo que me gusta a buen precio y buena calidad.,,
"(translated by google) that there those who are cashier products charge more than they are worth

(original)
que ahã­ las que estã¡n de cajerasproductos  cobran mã¡s de lo que valen los",,
"(translated by google) super varied economic

(original)
super variado econã³mico",,
muy buen lugar para las.,,
compras,,
buen ambiente y productos ðÿ‘œðÿ‘œ,,
muy buena tienda accesible y se encuentra de todos los productos centro americanos,,
"(translated by google) excellent

(original)
excelente",,
los productos son muy fresco las verduras y todo lo demã¡s el ãºnico problema son los empleados cuando tãº vas y le preguntas a un empleado por el precio de una cosa te responden repugnantemente como que uno les va a pedir regalado es lo ãºnico de ahã­ todo estã¡ bien de panam,,
mercado de productos latinos.,,
fue el primero en la cadena de tiendas megamart.,,
(translated by google) latin store where you can find everything you are looking for.,,
"(original)
tienda latina donde se encuentra de todo lo que buscas.",,
la verdad visito mucho este lugar lo atienden bien.,,
te van a dejar a tu casa si gastas mas de $50 me gusta todo es bien fresco.,,
"(translated by google) very nice well stocked

(original)
muy bonito bien surtido",,
mala expericncia esperamos mas de 1 hora por para que nos llevaran a casa con nusestras comprar con temperaturas sobre los 90â° todas las personas que esperã¡bamos tubimos que pagar taxi muy en desacuerdo con el servicio.,,
esperã© una hora por el free delivery tuve que pagar un taxi muy malo,,
"(translated by google) it's like being in el salvador

(original)
es como estar en el salvador",,
"(translated by google) good

(original)
buena",,
es muy pequeã±o este lugar.,,
pero tienen productos de nuestras tierras,,
mi teinda favorita,,
me gusta ir a comprar en estã¡ tienda me siento en ambiente como en mi paã­s,,
muy buen lugar y con buenos  precios .,,
se consiguen productos de casi todos los paã­ses de amã©rica,,
buen lugar para comprar todo lo latino,,
muy buenas variedades en todo lo q uno de sea y en muy buen lugar esta el local y todo en buen precio,,
es un donde ay lo que necesitã³,,
"(translated by google) very good store

(original)
muy buen tienda",,
"(translated by google) very good place

(original)
muy buen lugar",,
me sentã­ en mã©xico.,,
si bien es latino el lugar encuentras cosas que en otros lugares no encontraras... todos hablan espaã±ol y tiene mãºsica latina :) me sentã­ feliz aquã­!,,
es lugar dã³nde encuentras toda cosa centroamericana,,
(translated by google) here you will find everything.,,
from the basics till one needs to make a typical dish is their country.,,
and no free ride depending on where you live.,,
i live in brookland and at least 160 have to spend to bring me.,,
"(translated by google) by your attention

(original)
por su atencion",,
"(translated by google) good place to buy

(original)
buen lugar para comprar",,
me gusta tdo esta bajo presios,,
esta muy buien,,
siempre encuentro lo que quiero aqui,,
buen servicio producto latino,,
"(translated by google) good

(original)
bueno",,
la organizaciã³n de todo el producto debe ser una prioridad,,
donde hay de todo lo nuestro i lo mejor todo varato,,
buenos precios.,,
todos los productos latinos.,,
salsas.,,
verdura.,,
carne.,,
hablan espaã±ol.,,
un poco amontonado.,,
pero en general buena experiencia,,
"(translated by google) very good

(original)
muy buena",,
(translated by google) there is everything.,,
"(original)
hay de todo.",,
i adore this local business.,,
sonyaâ€™s has saved me for the occasional snack.,,
stick of butter.,,
or bottle of wine.,,
the people who own this place are super kind every single time iâ€™m in there.,,
has good foods and ingredients for anything you need!,,
my sister and i vacationed on orcas island a couple says.,,
i visited this sweet little grocery every day.,,
the ladies at the store got to know me because i went there every day.,,
i won't be back!,,
it's a tiny little convenient store but it has everything!,,
stop in here for sure.,,
if you live around here.,,
you can avoid a lot of trips to giant by stopping in for little items every house needs.,,
very lonely,,
i love the staff.,,
they have a pretty good variety offering of food and household essentials.,,
and they will stock items if you ask them to.,,
grew up going to this store almost daily.. just love this store n the owners..,,
good neighbor hood convenience store,,
close to home.,,
pricey as per corner store standards.,,
great service though and a great selection of beers and wines.,,
lik it,,
it's sorta expensive.,,
but they have a great selection of beer.,,
wine.,,
snacks.,,
and staples.,,
the staff are friendly.,,
and you can get in and out in 5 minutes.,,
very friendly and a surprisingly large selection,,
not sure,,
rock.,,
creek.,,
gingerale.,,
this i observed across all aldi's in and around college park area.,,
i love aldi's stores around the us.,,
but this one was not my cup of tea.,,
rather than keep the place open under construction.,,
they should have just closed it.,,
no room to move.,,
barely any thing left at 11:00 on a sunday.,,
and lines that back up â€¦,,
awesome store with reasonable prices on their goods.,,
only problem is they sell shopping bags instead of giving it 2 the customer 4 free after buying items.,,
everything is good but due to the remodel.,,
the freezer section is limited and the aisles are much smaller.,,
i mean i get it.,,
you want to make money during the remodeling.,,
but for real.,,
there is so much construction that it's unbearable to shop here.,,
great price.,,
great selection.,,
you come out happy.,,
i don't like this aldi there is absolutely no diversity.,,
they look at you like you dont belong here.,,
i don't give company like that my money.,,
i dont feel welcomed!,,
excellent prices and customer sevices.you visited the place for one stuff and for the variety get moreðÿ¤£ðÿ¤£ðÿ¤£,,
this place runs hot an cold.,,
food is good seasonal goods and supplies leave something to be desired except around christmas,,
their customer service was excellent despite remodeling,,
great shopping experience with different brands in aldi.,,
i've found a lot of stuff that i like.,,
it's healthy and saving more.,,
love this fruit punch very much.,,
great for vegetables wish they had a salad bar,,
prices are good but you don't have the same variety as other stores,,
of all the aldi's that i have shopped at and i have shopped at almost everyone in the dmv  areas.,,
this is the most worst one that i have ever shopped in.,,
first of all.,,
as you enter the store there's a horrible smell.,,
there are 6 registers in the store.,,
buy at the most only 2 are ever open.,,
then i saw that one the registers was closing.,,
and almost every time i go there the cashiers spend to much time making small talk with the customers.,,
aldi has some really good deals.some items are unbeatable but other items are'nt as good and they cost more than the retails stores.,,
so therefore this review was'nt easy .,,
under remodeling it will get better,,
lines can get a little long sometimes but their prices pay off.,,
getting things like milk.,,
butter.,,
eggs.,,
frozen fruit...you can usually get a good deal.,,
also bought some christmas wrapping paper here.,,
a place filled with nice surprises.,,
the customer service is excellent,,
it's ok. not much variety and you have to pay for a shopping cart...,,
they carry a decent amount of vegetarian products.,,
it's like a small farms market experience!,,
my favorite grocery store by far.,,
i've been shopping here for quite some time.,,
highly recommended!!,,
best of best so far.,,
aldi is great this aldi is terrible.,,
super dirty.,,
rotting vegetables.,,
trash everywhere.,,
prices marked wrong.,,
often never has any of the items in the weekly ad.,,
people panhandling outside the store.,,
it is like shopping in a third world â€¦,,
great supermarket.,,
wide variety of items.,,
very well price groceries at the moment the store is under construction still open,,
can't live without this store.,,
i am plant based.,,
a foodie and broke.,,
so i get most of my food supplies from an aldi's.,,
some aldi's are better than others.,,
i prefer the dc ne location.,,
absolutely love this market .,,
prices are great and better than a lot of other markets.,,
dont like how sometimes lines are just too long and 2 lanes are the only ones going .,,
but they have gotten better with that service .,,
great store!,,
good grocery and merchandise.,,
keep up the good job.,,
i have to give this aldi's a medium rating.,,
normally the stock is okay on occasion on a week to week basis.,,
but in particular this aldi's has issue with keeping meats in stock and produce seems to vary wildly to days where i can find red â€¦,,
inexpensive grocery store with rental shopping cart outside,,
almond milk ?,,
...got it from aldi !,,
excellent prices  by the way.,,
love it cheap and good,,
associates could be friendlyer.,,
they have good stuff for good prices.,,
not much name brand.,,
but just as good.,,
i go here for in between giant food stops for little stuff and coffee is super cheap for put it machines!,,
1/2 price of anywhere else,,
great selection and prices.,,
good prices and good food...,,
low prices.,,
very busy.,,
long lines.,,
no lines for people with few items.,,
get cussed at and called names when you ask about it.,,
really a horrible place.,,
don't ever go there,,
great prices ðÿ‘,,
excellent place to shop.,,
cheap items.,,
some good brands,,
was coo.,,
employees had a good attitude,,
pretty straightforward.,,
i've never had any issues when i shop at this location.,,
good place to shop okay customer service.,,
they have good prices and good food.,,
great shopping experience.,,
so after today i will not be doing any shopping from aldi.,,
my brother bought a box of oatmeal that contained the packets of instant oatmeal.,,
today as he opened one of the packets.,,
the ingredients started to crawl around the bowl.,,
yes that's â€¦,,
is a nice place to be therefore,,
cheap prices.,,
nice and cheap stuff,,
it is cheap and there is a lot of good thing that you can buy,,
bring your own bags and check your prices as some items are not price lower than others.,,
nice produce section!,,
love coming here!,,
prices are excellent.,,
this aldi does not sell wine.,,
very disappointed.,,
this is what i observed during a  conversation be ween a customer and  a security person in the store today at about 1:30pm.,,
i saw a security .,,
who dressed unprofessionally.,,
talking tocustomer who has kids in a very rude manner saying â€¦,,
it was great,,
cheap and good,,
its not the same anymore go somewhere else to shop,,
they don't have dozens of choices for every product.,,
but they have the essentials at the lowest price to be found in this city.,,
there's stuff constantly spilled.,,
look could be updated.,,
i've been shopping at this location for 10 yrs.,,
now i love love this place.,,
you fed our family on any budget here.,,
and i can afford to do so with aldi's.,,
staff amazing very friendly helpful.,,
they watched my kids grow.,,
i love love this store.,,
some of the lowest prices.,,
got some of my favorite items at this store.,,
37 yt?,,
53333333366g.33533333333,,
which they would keep some of the same things in stock.,,
the cashier theresa was rude to me in front of my children.,,
when i told management all they said was go to another cashier.,,
they seem to have had everything i was looking for.,,
not many options and very small.,,
it depend which one you go to a lot food and stuff,,
did not have lettuce.,,
i shop here on a weekly basis.,,
the checkout line is super fast to go through as well.,,
definitely recommend this location.,,
