other_loc_name,other_loc_address
Capital Shoppers Supermarket - Ntinda,"Ntinda Rd, Kampala, Uganda"
Al Majd Hotel,"Ibri, Oman"
Parking Strzeżony 24H,"Kozielska 54, 44-100 Gliwice, Poland"
Bingen-Rüdesheimer Fähr- und Schiffahrtsgesellschaft eG Verwaltung Rüdesheim,"Rheinstraße 29, 65385 Rüdesheim am Rhein, Germany"
九宫阁 Nine Square Hotpot,France R14 - Dubai
Al Mulla Travels,"Kuwait City, Kuwait"
Yes Bank,"Flexcel Park, Unit No 1, Ground Floor D Wing, SV Rd, Jogeshwari, Mumbai, Maharashtra 400102, India"
Al Dawri Cafeteria-Tasjeel Auto Village Sharjah,"Shop No. 5, Tasjeel Auto Village - Sharjah"
Jiyamere Visitors Suites JVS,"Jiyamere Visitors suits Gombe Bauchi Road, Nigeria"
Touch Summer Club,"Via Divisione Cuneense, 10/B, 12023 Caraglio CN, Italy"
Southern Fried Chicken,"Dunokofia St, Garki, Abuja, Nigeria"
Miramar,"Waidallee 100, 69469 Weinheim, Germany"
Cream Stone,"265, Shop 4-6, Ground Floor, Bhagyashree Building Varsha Park Road, Baner Rd, Opposite Ivory Estate, Varsha Park Society, Pune, Maharashtra 411045, India"
Porsche Centre Mayfair,"Berkeley Square, Mayfair, London W1K 3NA, United Kingdom"
مطعم وكافيه دقدق,"Asyuit Desert - Cairo Rd, Al Faiyum Governorate Desert, Faiyum Governorate, Egypt"
Mediterranean 17 Parking Lot,Dubai
Caffe Diemme,Block 6 - Shop # 5 - Dubai
Deals on Wheels,"Sheikh Zayed Road (E 11, Exit 45 After Oasis Centre - Sheikh Zayed Rd - Dubai"
Lassi Shop,"Kaloor, Kochi, Kerala 682017, India"
"Centro Sportivo ""Mare Sport"" - Villanova","72017 Villanova BR, Italy"
Al-Shareef Restaurant - مطعم الشريف,"69 Mount Pleasant, Liverpool L3 5TB, United Kingdom"
LalQila,"VILLA#B13, MARINA VILLAS, BEHIND MARINA MALL, MARINA VILLAGE - Abu Dhabi"
Italian Shoe Exhb,Sharjah
P.F. Chang's,Dubai
Zain,"Hayat mall , Riyadh , Saudi Arabia, Riyadh Saudi Arabia"
"Rimal Gents Salon , barber shop","Marina View Tower - Shop No.6, Ground Floor - Dubai"
Erdem Yapı Akzirve Strada,"Şamlar Mahallesi, Hoşdere-Bahçeşehir Yolu No:42, 34488 Başakşehir/İstanbul, Turkey"
West Warwickshire Sports Complex,"78 Grange Rd, Solihull B91 1DA, United Kingdom"
PARAKKAL MART,"Venkulam, Oorakam, Kerala 676519, India"
Al Fateh Grand Mosque,Awal Avenue Corner Al Fatih Highway، Bahrain
Panera Bread,"2 N Michigan Ave, Chicago, IL 60602, United States"
Firstv Studio,"20 Kayode Street, Off Ijaiye Road,, Ogba, Lagos, Nigeria"
Gradska Kafana,"Njegoševa 31 Herceg Novi Montenegro, Njegoševa, Herceg - Novi, Montenegro"
Abu Mosa Al Ashaari Mosque,Z25، - Abu Dhabi
Emirates Transport Abu Dhabi Branch,1 - 10th St - Abu Dhabi
Enoc petrol station,Al Talah، Emirates Road - Towards Ajman - Ajman
Mount Green Farm,"River Heights, Opposite to Signature Homes Apartments, Raj Nagar Ext Rd, Ghaziabad, Uttar Pradesh 201001, India"
Parking Santa Bárbara,"Av. Príncipe de Asturias, 6, 11300 La Línea de la Concepción, Cádiz, Spain"
Farm Superstore 22,"Mekkah St, Abdullah Fuad, Dammam 32236, Saudi Arabia"
Auschwitz II-Birkenau Nazi Concentration Camp,"Ofiar Niemieckiego Faszyzmu 12, 32-600 Brzezinka, Poland"
Restaurant Le Sambre & Meuse,"Rue Edmond Schmidt 2, 6280 Gerpinnes, Belgium"
Yaprak Tantuni,"Çankaya, Silifke Cad. Zehra Dinç İş Hanı D:4, 33070 İçel Merkez/Mersin (İçel), Turkey"
Colosseum,"Piazza del Colosseo, 1, 00184 Roma RM, Italy"
Holiday Inn Al Khobar,"King Saud Rd, Qurtoba, Al Khobar 31952, Saudi Arabia"
Cais da Pedra,"Armazem B, loja 9, Av. Infante Dom Henrique, 1900-264 Lisboa, Portugal"
S1 Siegen,"Am Bahnhof 19, 57072 Siegen, Germany"
Bismillah Medical Store,"Jampur, Rajanpur, Punjab, Pakistan"
NRC MERO - Norwegian Refugee Council - Middle East Regional Office,"Al-Sharif Abdul Hamid Sharaf St. 93, Amman, Jordan"
La Bodeguita del Medio,"Stationsstraat 9, 8500 Kortrijk, Belgium"
Mačka,"Vojašniška ulica 6, 2000 Maribor, Slovenia"
Bosco Trading Co LLC,PO Box 17972 - Sharjah
Trattoria Da Luiggi,"Carrer Antoni Llopis, 8, 17800 Olot, Girona, Spain"
Amma's Restaurant,"Building # P18, France Cluster, Manama Road - Dubai"
Mariasol,"401 Santa Monica Pier, Santa Monica, CA 90401, United States"
Savvy Solaris,"Gandhi Nagar Rd, Parvati Nagar, Motera, Ahmedabad, Gujarat 380005, India"
Mobily,"King Fahad St. behind the Trident hotel, Khamis Mushait Saudi Arabia"
Widam Madinat Khalifa,"Madinat Khalifa St, Doha, Qatar"
More Cafe,"Al Murooj Complex, Opp. Dubai Mall، DIFC - Dubai"
Lithos Tavern,"Esopou 17, Athina 105 54, Greece"
Durgamba Motors,"Shop No, 8, Bull Temple Rd, Shankarapura, Bengaluru, Karnataka 560018, India"
Navy Lodge Norfolk,"7811 Hampton Blvd, Norfolk, VA 23505, United States"
Ocean Basket Highveld Mall,"Shop 9, Highveld Mall, Mandela St, Emalahleni, 1035, South Africa"
McDonald's,"Junto a Ikea, Parque Comercial BAHIA AZUL, Av. de Velázquez, 389, 29004 Málaga, Spain"
Heitsch Galerie,"Reichenbachstraße 14, 80469 München, Germany"
Dirk van den Broek,"Markt 21, 4751 HS Oud Gastel, Netherlands"
Yellow hat Car Wash,2 43a St - Dubai
Nathalal M Parekh Sanatorium,"Sahani Road,Near Telephone Exchange, Lonavla, Maharashtra 410401, India"
Côte Brasserie - Amersham,"27 The Broadway, Amersham HP7 0HL, United Kingdom"
Franz Carl Weber Toy Store,"Bahnhofpl. 9, 8001 Zürich, Switzerland"
Etisalat,Etisalat Tower 2 - Al Faheedi - Al Mankhool Rd - Dubai
QNB Lagoona بنك قطر الوطني,"Lagoona mall, Doha, Qatar"
Adamu Fura Building,"Gombe, Nigeria"
Young Cheng,"22 Lisle St, London WC2H 7BY, United Kingdom"
Bakemart Gourmet,807 شارع شاطئ جميرة - Dubai
Park city walk,"Saket District Centre, District Centre, Sector 6, Pushp Vihar, نيودلهي،، Delhi 110017, India"
Sushi-ya,"Yosef Trumpeldor St 1, Jerusalem, 9459001, Israel"
First Class Grill and Fish Bar,"12 Beauchamp Ave, Birmingham B20 1DR, United Kingdom"
Al Sahi Cafeteria,Unnamed Road - Sharjah
Meeqaat Yalamlam,"Sayaa 28252, Saudi Arabia"
Hardee's Al Qusais,Eppco Petrol Station - Al Nahda St - Dubai
tapas n chill,"69 golf park, av jose miguel galvan bello, 38639 Golf del Sur, Santa Cruz de Tenerife, Spain"
Mamusha supermarket,"Kira Town, Uganda"
PMR Auditorium,"PMR City, Melmuri, Malappuram, Kerala 676519, India"
Kyo Japanese food,"Av. Pres. Kennedy, 4121 - 3121 - Portão, Curitiba - PR, 80610-905, Brazil"
Nillakanth solar and ro water filter,"F-2 Sukhaamrut shopping umragam, Gujarat 394130, India"
IOC - COCO KR Puram,"KR Puram, Mahadevapura, Bangalore Urban, Bengaluru, Karnataka 560028, India"
Alankara - Naseem Al Nada Readymade Gar. Tr.,31 King Faisal St - Sharjah
Cantina e Cucina,"Via del Governo Vecchio, 87, 00186 Roma RM, Italy"
Auiction Lexus Rx 350 Giriftagimon,Sharjah
Hotel Gateway Grandeur,"3, GS Rd, Ananda Nagar, Christian Basti, Guwahati, Assam 781005, India"
Exotic Furniture,"NH-17 Kozhichena, Kottakkal, Kerala 676508, India"
Центр большого тенниса MF41,"Mosfil'movskaya Ulitsa, 41/2, Moscow, Russia, 107140"
Al Hammadi Cafeteria & Falafil,Sheikh Khalifa Bin Zayed St - Ajman
Brioche Dorée,"24 Place des Halles, 67000 Strasbourg, France"
Satamaravintola Nuotta,"Satamalaiturintie 13, 55420 Imatra, Finland"
Rodo Hotel Fashion Delight,"Via dei Calzaiuoli, 13, 50122 Firenze FI, Italy"
콩이랑&석쇠불고기,"South Korea, Busan, Dongnae-gu, Myeongnyun-dong"
Lindt Chocolate Shop,"4955 International Dr Suite 1-C03, Orlando, FL 32819, United States"
Bombay Salad Co.,"Shop No, 1, 16th Rd, near Mini Punjab Hotel, Bandra West, Mumbai, Maharashtra 400050, India"
Cherry Grocery,Dubai
Nahda Gardens Restaurant,"G Floor,Wasl Building,19 A Street,Al Nahda - Dubai"
Cream & Honey,Fujairah
Slottsskogen,"Slottskogspromenaden, 414 76 Göteborg, Sweden"
Monte Nero,"Cordial Emerald - 1st Floor TC 2/267, 2)A, Kesavadasapuram-Ulloor Rd, Thiruvananthapuram, Kerala 695011, India"
Adamjee Claim Centre - Rashidiya,Dubai
"Al Ansari Exchange, Murar Branch","Omar Bin Alkhattab St, near Murar Jadeed Bus Station Murar,Deira - Dubai"
Suhaib bin Sinan Mosque,Jordan
Asna 3D Floor Painting,51 40 A St - Dubai
Filli Cafe,"Mirdiff, Uptown Mirdiff Mall,æMirdif, Dubai - Dubai"
Dodda Aalada Mara,"Tavarekere, Uttarahalli Hobli, Bengaluru, Karnataka 562130, India"
Al Khair Restaurant,"28, Rd Oposite, HiLite Metromax, 1170B, Kozhikode Bypass, Ummalathoor, Kozhikode, Kerala 673008, India"
fosters hollywood,"Carrer de Balmes, 76, 08008 Barcelona, Spain"
Box Grândolativa,"R. Dr. Júlio do Rosário Costa 9, 281, 7570-281 Grândola, Portugal"
Museum of American Finance,"48 Wall St, New York, NY 10005, United States"
Harper's Bazaar Cafe,"G Floor,Building 9 - Dubai"
Abou Tayssir,"bab el fahs, 11 Rue d'Italie, Tanger, Morocco"
Toyota Service Centre,"5 28821, Saudi Arabia"
Times Square,"1 Matheson St, Causeway Bay, Hong Kong"
Vista,"Taj Lands End, Bandstand Promenade, BJ Road, Bandra West, Mumbai, Maharashtra 400050, India"
Perú Fusión,"36, Cl. 35 #4, Cartagena, Bolívar, Colombia"
"Shri Jagannath Temple, Hyderabad","Plot No- 1269, Road No 12, Banjara Hills, Hyderabad, Telangana 500034, India"
Wild Jordan Center,"Othman Ben Affan St., Amman, Jordan"
Dealz,"Calle de Bravo Murillo, 192, 28020 Madrid, Spain"
Desi Chulhaa Wakad,"mauli chowk, Datta Mandir Rd, Pune, Maharashtra 411057, India"
Discovery General Contracting LLC Abudhabi,Abu Dhabi
Aamena Sarvajanik Hospital,"Rahat Co- Operative Housing Soc, Gabheni Rd, Unn Patiya, Surat, Gujarat 394230, India"
The Oberoi Bengaluru,"37-39, MG Road, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560001, India"
Sports 2000,"Rue Igor-Stravinsky, 1820 Montreux, Switzerland"
National Hearing Care Centre,"D-218 A, Vivek Vihar, Near OBC Bank, New Delhi, 110095, India"
Fresh Thyme Farmers Market,"211 W Rand Rd, Mt Prospect, IL 60056, United States"
LAZ Parking,"1111 Lincoln Rd, Miami Beach, FL 33139, United States"
Triangle Museum,"Triangle, Zimbabwe"
"TROPICO, UGOSTITELJSKI OBRT, ĐEVAT I AGRON SULEJMANI, S. I A. RADIĆA 21","Ul. Stjepana i Antuna Radića 21, 44000, Sisak, Croatia"
Vans,Financial Center Rd - Dubai
Stars N Bars,"Emporium Bldg,Yas Marina Circuit, Yas Marina - Abu Dhabi"
Corner Qramisho,"Al Hasan Ibn Ali, Ar Rawdah, Riyadh 13213, Saudi Arabia"
Mb International,"Bangalore Nilgiri Rd, Lashkar Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001, India"
City Bakers,"Pallichal Rd, Pyarry Junction, Thoppumpady, Kochi, Kerala 682005, India"
Al Mashoor New Campus Dahi Bhallay And Fruit Chaat,"Ahmed Block Garden Town, Lahore, Punjab, Pakistan"
Emirates Co-Operative Society Al Mizhar 2,Tunis St - Dubai
حلويات أماسي,"الردة، الشارع العام اشارة، Baljurashi 65635, Saudi Arabia"
Caribou Coffee,Al Durrah Tower - Corniche St - Sharjah
Saudi Commission for Health Specialties,"6591 Samhah St, Al Safarat, Riyadh 12511, Saudi Arabia"
Kiddles,"First New Cairo, Cairo Governorate, Egypt"
Nibras Al Emirates TR. نبراس الإمارات التجارية,"Sheikh Saqr Bin Khalid Al Qasimi Street, Industrial Area 4 - Sharjah"
Cappuccino,"Östra Larmgatan 19, 411 07 Göteborg, Sweden"
Al-Hijaz (Tours & Travels) Ltd,"7 Balmoral Rd, Forest Gate, London E7 0NR, United Kingdom"
منتجع,Dubai-Hatta Rd - Sharjah
استراحه الريف,"3444, Al Qatif 32634, Saudi Arabia"
Musée National de la Marine Toulon,"Place Monsenergue, Quai de Norfolk, 83000 Toulon, France"
Paramount Tower Hotel & Residences,Sheikh Zayed Rd - Dubai
Doppio Cuore,"Konstantego Ildefonsa Gałczyńskiego 3, 00-362 Warszawa, Poland"
Subway,"16 Sherwood St, Warsop, Mansfield NG20 0JN, United Kingdom"
Lanxess Arena,"Willy-Brandt-Platz 3, 50679 Köln, Germany"
Café Coffee Day - Nathan Pridus,"K.R.Puram (Hob), Bangalore South (Tq), Ground Floor,Survey Nos.95,, Kr Puram, Bengaluru, Karnataka 560037, India"
Pizza Papa,"13 Place de la Comédie, 34000 Montpellier, France"
Plaza de las Tendillas,"s/n, 14002 Córdoba, Spain"
BHNS ENGINEERING CONSULTANTS,"Office 105, Emitac Building, 45 Street 2 - Dubai"
Buchbinder & Global Rent a Car,"Flughafenstraße 1-3/Terminal 2, 22335 Hamburg, Germany"
Hyper One,"At Taniem, Mecca 24224, Saudi Arabia"
Salah El Din Al Ayouby Citadel,"خليفة، Al Abageyah, Qesm Al Khalifah، Cairo Governorate, Egypt"
Pillerseetal-Fieberbrunn,"Almen 56, 6391 Fieberbrunn, Austria"
Indigo Ville 3,Jumeirah Village Circle - Dubai
Dunavska Terasa AM,"Beogradska 103, Novi Banovci 22304, Serbia"
Arco de Triunfo de Barcelona,"Passeig de Lluís Companys, 08003 Barcelona, Spain"
Decathlon İzmit,"SYMBOL AVM OVACIK MAH. D-100 KARAYOLU ÜZERİ NO:28/A, 41140 Başiskele/Kocaeli, Turkey"
Public Cook طباخ الجماھیر,247 Damascus Street - Dubai
amapola,"Plaza de la Constitución, 410, 29650 Mijas, Málaga, Spain"
Labella Resort,"Al Qirawan, Riyadh 13531, Saudi Arabia"
Divya Auto Spare Parts Trading LLC Showroom 2,First Industrial St - Sharjah
Játékszín,"Budapest, Teréz krt. 48, 1066 Hungary"
Morgan Seafood Restaurant,"162 شارع سليم الاول، ناصية، Mansheya El-Tahrir, Ein Shams, Egypt"
Petrol Pump Bharath,"Neriamangalam, Kerala 686693, India"
Kashounat Albait,"Northern Ring Branch Road, Rubeen Plaza، Riyadh 13515, Saudi Arabia"
Victory Museum,"Ploshchad' Pobedy, 3, Moscow, Russia, 121170"
Walmart Supercenter,"45485 Miramar Way, California, MD 20619, United States"
The Scene at Pier 7,"Pier 7, Dubai Marina - Dubai"
Cisalfa,"Unit R11 Piazza Cerea, 1, 12084 Mondovì CN, Italy"
Hilton Rome Airport,"Via Arturo Ferrarin, 2, 00054 Fiumicino RM, Italy"
Gasa Restaurant,"50 New Delhi Dr, Markham, ON L3S 0B5, Canada"
Barncafe بارن كافيه,"فرع، Al Samer, AL SAMIR STREET AT AL SAMIR GAZ STATION Jeddah AL-SAMER حي السامر - محطة المواريد، Jeddah Saudi Arabia"
Bal Cafe,"District 1, Shiraz, Fars Province, Iran"
Manilal Party Plot,"Behind McDonalds , Motera-Sugadh, road, Motera, Ahmedabad, Gujarat 380005, India"
Bab Al Yam,"Ground floor, Burj Al Arab Jumeirah, Jumeira Road, Umm Suqeim 3 - Dubai"
Haldiram's Planet Food,"Plot No. 214, WHC Road, Dharampeth Extension Near Sudama Talkies, Shankar Nagar, Nagpur, Maharashtra 440010, India"
Crowne Plaza Abu Dhabi - Yas Island,259 Yas Plaza Hotels Yas Island - Abu Dhabi
Nilgiris Green Field,"17, 23, Ranga Pillai St, White Town, Puducherry, 605005, India"
Victoria's Secret Pink,Financial Center Rd - Dubai
Walter Schneider Seelbach GmbH & Co. KG,"Freudenberger Str. 494, 57072 Siegen, Germany"
Bastion Contrario di Nicola Tesoro,"Italia, Piazza della Vittoria, 4, Ceriale SV, Italy"
LnS Gallery,"2610 SW 28th Ln, Miami, FL 33133, United States"
سوق العبيكان,"خالد بن الوليد، الشهداء الشمالية، Ashuhada Ashamaliyyah, Taif 26513, Saudi Arabia"
Frizerie canina PET LIFE Brasov,"Bulevardul George Moroianu 97, Săcele 505600, Romania"
VFS Global,Level B2 - The Mall World Trade Center - Khalifa Bin Zayed The First St - Abu Dhabi
Alserkal Avenue,17th St - Dubai
South Indian Restaurant,Shabiya ME-10 New - Abu Dhabi
Chekkottu Sreekrishna Swami Temple,"Ashramam Rd, Uliyakovil West, Uliyakovil, Kerala 691002, India"
Angkor Magic Tree Boutique,"Phum Salar Kanseng, Krong Siem Reap, Cambodia"
Dammam Shopping Center,"Prince Mansour St, Al Adamah, Dammam 32242, Saudi Arabia"
Jenny Flowers International LLC,Near St. Mary’s Church، Al Nasr Building 1 - Oud Metha Rd - Dubai
Pet's Delight,Gardens Plaza - A - Abu Dhabi
Yi Fang Taiwan Fruit Tea,"Store#190, Alderwood Mall, Lynnwood, WA 98037, United States"
"Pak Sweets, Opposite Shezan Factory, Bund Road, Lahore","Shera Kot, Lahore, Punjab 54000, Pakistan"
ENOC,Shk Mohd Bin Zd Rd - E311 - Dubai
Lucknow Chikan Art,"Zakir Nagar Main Rd, Block C, Joga Bai Extension, Okhla, New Delhi, Delhi 110025, India"
Kufa for Broasted Restaurant,"King Fahd Road, Uhud, Dammam 32263, Saudi Arabia"
Nizza,"Untermainkai, 60329 Frankfurt am Main, Germany"
RTV EURO AGD,"Pszczyńska 315, 44-100 Gliwice, Poland"
Riso Restaurant,Dubai
Nile Point,"Cairo - Al Wosta, Old Cairo, Giza Governorate, Egypt"
Bombay Hotel,"Silk St, Kuttichira, Kozhikode, Kerala 673032, India"
Renner (Mooca Plaza Shopping),"Shopping Mooca, R. Cap. Pacheco e Chaves, 313 - Vila Prudente, São Paulo - SP, 03126-000, Brazil"
Mitsumi Business Park,"Nairobi, Kenya"
Texas A&M Health Science Center,"2101 S McColl Rd, McAllen, TX 78503, United States"
Spica Residence,"Al Khail Rd, Jumeirah Village Circle - Dubai"
Holiday Lounge,"Calle Salitre, 9, 29770 Torrox, Málaga, Spain"
Mercury Station,"Al Urubah Rd, As Sulimaniyah, Riyadh 12244, Saudi Arabia"
Trattoria Aldina,"Via Luigi Albinelli, 40, 41121 Modena MO, Italy"
Chinatown Steel Towers Incorporated,"531 Asuncion St, San Nicolas, Manila, 1000 Metro Manila, Philippines"
Angel Mega Mall,"Kaushambi, Ghaziabad, Uttar Pradesh 201012, India"
Le Marquis,"Carrer del Marquès de Dos Aigües, 6, 46004 Valencia, Spain"
Switch Bowling,ابن بطوطة مول، - Dubai
Naser Sports Center,"Hamad Rashed Al Alban St, Kuwait"
Woolworths Food Access Park,"No 1, Access Retail Park, Corner Buffelsfontein Road & Newcombe Avenue, Walmer, Port Elizabeth, 6070, South Africa"
Cmentarz Lipowy,"Księcia Józefa Poniatowskiego, 44-100 Gliwice, Poland"
هريس الوالدة - شارع سلوى,"Doha, Qatar"
News Cafe,"800 Ocean Dr, Miami Beach, FL 33139, United States"
Standard Chartered Bank CBP1,"7 Changi Business Park Cres, Singapore 486028"
The White Owl,"17 Road 216 intersection with 206، Maadi as Sarayat Al Gharbeyah, Maadi, Cairo Governorate, Egypt"
مطعم سحر,"Mersa Matruh, Matrouh Governorate, Egypt"
La Toscana,"Carrer de Neopàtria, 87, 08030 Barcelona, Spain"
Narnarayan Park,"Sardar Chowk, Krishnanagar, Ahmedabad, Gujarat 382345, India"
Lagoona Mall,"66 West Bay Lagoon Street, Doha, Qatar"
Get Smart Gym Tariq Road,"6th Floor, Jumeirah Mall, Opp Dolmen Mall Plot No.37, DMCHS، Main Tariq Rd, Delhi CHS PECHS, Karachi, Karachi City, Sindh 75400, Pakistan"
Tea Man Cafe,Dubai
Leroy Merlin,"V-21, 46120 Alboraia, Valencia, Spain"
KFC,Al Sharq St - Sharjah
Okashi Goten - Yomitan shop,"657-1 Uza, Yomitan, Nakagami District, Okinawa 904-0328, Japan"
Meeks RV,"25355 CA-99, Acampo, CA 95220, United States"
Hercules Caves,"Tangier, Morocco"
Shoes on the Danube Bank,"Budapest, Id. Antall József rkp., 1054 Hungary"
Calheta - Levada of 25 Fontes,"Estreito da Calheta, Portugal"
Mirum,Dubai
Chili's,"Zahhar, Beirut, Lebanon"
e-寿司,"United Kingdom, Glasgow, Byres Rd"
Al Aseel Palace Grill Restaurant,"طريق هارون الرشيد،، Riyadh 14263, Saudi Arabia"
Vinayak Resort,"Borkhera,Devli Arab Road, opp salasar dham, Kota, Rajasthan 325201, India"
Hörsalsparken,"Drottninggatan 48, 602 32 Norrköping, Sweden"
Galaxy City Mini Mart,6 2a St - Dubai
Everest Restaurant,42 21 B St - Dubai
"Saleh Bin Lahej JVC Building, Block A",قرية جميرا الدائرية - Dubai
The Citadel Alba-Carolina,"Calea Moților, Numărul 5A, Alba Iulia, Romania"
Viena,"Ronda de Sant Pere, 11, 08010 Barcelona, Spain"
Wendy's,Uptown MotorCity - Dubai
Avanti Beach Hotel,"Boulevard Moulay Youssef, La Corniche, Mohammédia, Morocco"
Hawthorn Suites By Wyndham Abu Dhabi City Center,Junction of - شارع السلام - Abu Dhabi
Starbucks,"333 Strander Blvd, Tukwila, WA 98188, United States"
Zollverein Coal Mine Industrial Complex,"Gelsenkirchener Str. 181, 45309 Essen, Germany"
Filli Cafe,"Foodcourt, Academic City - Dubai"
Subway,"231 E Colorado Blvd, Pasadena, CA 91101, United States"
Rue 71,Dubai
Expat Wheels,"RTA Al Barsha Tasjeel, Sheikh Zayed Road - Dubai"
Bab Al Madeena Rent a Car,"Office 514 ,Pinnacle Building, Next to IBIS, Sheikh Zayed Rd - Dubai"
"Master Systems, Ajman",Ajman
Disco Bakers,"A-495 Allama Shabbir Ahmed Usmani Rd, Block 3 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh, Pakistan"
Parthenon,"Athina 105 58, Greece"
Nayaab Haandi,near Nahda park - Sharjah
Dubai Hills Golf Clubhouse,Dubai
جامع ابو بكر الصديق Masjid Abu Bakr Siddique,"Anwaah Anwaah, Yanbu Al Sinaiyah, Yanbu 46456 8355, Saudi Arabia"
Arabiata,"الجيزة, المهندسين، Egypt"
Kalpaka,Al Mankhool Rd - Dubai
The Stables Dubai,"White Crown Building,, Near Crown Plaza - Sheikh Zayed Rd - Dubai"
Pol & Grace Hotel,"Carrer de Guillem Tell, 49, 08006 Barcelona, Spain"
Family International Complex,"Al Masjid Al Haram Rd, Al Jamiah, Mecca 24242, Saudi Arabia"
THE FREEDIVER DIVING & HUNTING EQUIPMENT TRADING L.L.C,"SHOP F03, IT PLAZA - first floor - Dubai"
MGS Kalavara Multicusine Restaurant,"Adimali, Kerala 685561, India"
The Saxon Mill,"Coventry Rd, Guys Cliffe, Warwick CV34 5YN, United Kingdom"
Al Mentad Airconditioning Spare Parts,76 Al Maktoum Hospital Rd - Dubai
Delhi Public School Megacity,"Kalikapur Rd, Newtown, Kalikapur, West Bengal 700135, India"
Lamai Market,"Hatlamai 4 Rd., Koh Samui, Ko Samui District, Surat Thani 84310, Thailand"
Golden Gate,"Volodymyrska St, 40А, Kyiv, Ukraine, 01034"
Mussafah Gardens Apartment Complex حدائق المصفح,Abu Dhabi
The Westin Warsaw,"al. Jana Pawła II 21, 00-854 Warszawa, Poland"
Jawad Fish And Chips,"Robert Rd, Birmingham B20 3RS, United Kingdom"
Pan Pan,"333/99 ห ตำบล หนองปรือ Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand"
Sky Park,"Soborna St, 24, Vinnytsia, Vinnytsia Oblast, Ukraine, 21000"
Broccoli Pizza & Pasta,"Al Qasimi Street, Bu Tina - Sharjah"
Kamarija,"Pod bedemom, Sarajevo 71000, Bosnia & Herzegovina"
Меңьеллык паркы,"Kazan, Tatarstan, Russia, 420107"
William Wallace Statue,"Aberdeen AB10 1NP, United Kingdom"
Tie Shop - City Center Mall Makram Ebeid,"Tie Shop - City Center Mall Makram Ebeid City Center Ml, Makram Ebeid, Al, Al Mant, Nasr City, Cairo Governorate 11765, Egypt"
Aveika,"Sandhill Newcastle upon Tyne NE1 3AF NE1 3HE, United Kingdom"
SBEU,"4/1/896, Ramkoti, Hanuman Tekdi, Abids, Hyderabad, Telangana 500001, India"
جمعية سلوى التعاونيه,Kuwait
Oasis Chinese Restaurant,"Mina Road, Tourist Club Area, Near Emirates Plaza Hotel - Abu Dhabi"
Faisal Mosque,"Shah Faisal Ave, E-8, Islamabad, Islamabad Capital Territory 44000, Pakistan"
Le Petit Belge,Detroit Rd - Dubai
Niagra Super Mart,"7-E faried town college chowk sahiwal، 1 Farid Town Rd, Farid Town, Sahiwal, Sahiwal District, Punjab 57000, Pakistan"
Marimekko,Dubai
Valigeria Gazzarrini Roma,"Via del Tritone, 13, 00187 Roma RM, Italy"
Canvas Art Store,"Crescent Dr, Dubai Festival City Mall, First Level Shop No SC146, Beside Toys R Us - Dubai"
Ocean Park Framhouse Asif,"Jamali Goth Keamari, Jamali Goth, Karachi City, Sindh, Pakistan"
Khulna Circuit House,"K.D. Ghos Rd, Khulna 9100, Bangladesh"
Plitvička Vrela,"Grabovac 257, 47246, Rakovica, Croatia"
Aavkar Infra,"A-6, Sagar Tower, Aqsa Masjid Rd, Gautam Nagar, Jogeshwari, Mumbai, Maharashtra 400102, India"
Sialkot Dry Port Trust,"Wazirabad Rd, Sambrial, Sialkot, Punjab, Pakistan"
Catwalk Ladies Salon,2nd St - Dubai
Busaba Kingston Riverside,"4 Riverside Walk, Kingston upon Thames KT1 1QN, United Kingdom"
POF Guest House,"Quaid Avenue, Officers Colony, Wah Cantt, Rawalpindi, Punjab 47040, Pakistan"
ADNOC Service Station,"Mohammed Bin Zayed City,Mahawi - Abu Dhabi"
McDonald's,"Al-Madina Al-Monawara St, Amman, Jordan"
The Beach by Meraas,Opposite JBR - Dubai
Hilton Beirut Habtoor Grand,"Charles de Gaulle St, Beirut, Lebanon"
Vivek Tailors,"498, 7th Cross Rd, 8th Main, Jeevanbimanagar, HAL 3rd Stage, Bengaluru, Karnataka 560075, India"
InterContinental Hong Kong,"No. 18 Salisbury Rd, Tsim Sha Tsui, Hong Kong"
Abo Hamza Restaurant,"Street 17, First New Cairo, Cairo Governorate 11835, Egypt"
Dubai Parks And Resorts HQ,Opposite Palm - Sheikh Zayed Rd - Dubai
Del Oro Chocolate Factory,"Puerto Plata 57000, Dominican Republic"
FIVE Palm Jumeirah Hotel,No. 1 Palm - Dubai
Al Dobowi Bikes Services Center,Dubai
Paws and Whiskers,26th St - Dubai
10 Club / Ice Cream Club,"Av. del Mediterráneo, 10, 28007 Madrid, Spain"
"Old Shiv Mandir, Holi Road","Milak, Uttar Pradesh 243701, India"
خفايف,"Prince Naif Rd, Al Ruqaiqah, Al Hofuf 36441, Saudi Arabia"
Karamna - Restaurant,"Aley, Lebanon"
Bika Banquets,"76, Golaghata Rd, Dakshindari, Kolkata, West Bengal 700048, India"
Afrina Beauty Club Al Barsha,Shop #1 - Umm Suqeim St - Dubai
"Human Rights Radio, Abuja","Plot 1184 Kaura District, Kaura, Abuja, Nigeria"
